Number;Name;Provider;Tag;Channel File Name;Service File Name;Service Type;picon
1;Das Erste HD;ARD;HDTV;75e6756e60a05f32b372c14448c2be7f;eb457654468dcace9a0481b85bccce9a;25;picon://1_0_19_283D_3FB_1_C00000_0_0_0.png
2;ZDF HD;ZDFvision;HDTV;f5828523626248b563aae916562be0e9;30f77bc0868497544cb6a794b18a660f;25;picon://1_0_19_2B66_3F3_1_C00000_0_0_0.png
3;BR Süd HD;ARD;HDTV;44dcea3c6c46920cc2d2142249bbce54;f2b432c3d6ad7a95c91360f0ebb74f1f;25;picon://1_0_19_2855_401_1_C00000_0_0_0.png
4;RTL Television;CBC;SDTV;674a7984ceb6b2bddb766635679f6e91;2bcbccece115e258c79e5f2da1152c95;1;picon://1_0_1_2EE3_441_1_C00000_0_0_0.png
5;RTL2;CBC;SDTV;53c0fbaba1a83d30199e7ec17fa36a3b;7a129652fdc080c9accaf6289b433131;1;picon://1_0_1_2EF4_441_1_C00000_0_0_0.png
6;VOX;CBC;SDTV;3cb27f8026a7b66de0af2b992e0e6fdf;b5c1e75f6663b78375f804249731b269;1;picon://1_0_1_2F1C_441_1_C00000_0_0_0.png
7;RTLNITRO;CBC;SDTV;532e5b7cd348166da37afa599af1ea2c;9360615305880fea850595c2dabcefbd;1;picon://1_0_1_2F1D_441_1_C00000_0_0_0.png
8;SAT.1;ProSiebenSat.1;SDTV;0c4329811722a325cfaf677bc00cd0a5;143145b7e9880dddf2bc160a263be022;1;picon://1_0_1_445C_453_1_C00000_0_0_0.png
9;ProSieben;ProSiebenSat.1;SDTV;699c88ef87922cb0d23a5a9b760fd9e4;8878134bda01d23758a40328cbcdc9de;1;picon://1_0_1_445D_453_1_C00000_0_0_0.png
10;kabel eins;ProSiebenSat.1;SDTV;f0ea96910fea2299bc43d247ef6025c9;ca2ed77c26b1fad1969bb633895bd82f;1;picon://1_0_1_445E_453_1_C00000_0_0_0.png
11;SAT.1 Gold;ProSiebenSat.1;SDTV;af9c023b240ed166f5aa089bc730e8e8;8fc3cabbf1909a669b9add8b12bb3e29;1;picon://1_0_1_4460_453_1_C00000_0_0_0.png
12;ProSieben MAXX;ProSiebenSat.1;SDTV;5c13b60922c0289ce645f30250521e08;58c3875bf413d8281dd4a0dec404c4eb;1;picon://1_0_1_4461_453_1_C00000_0_0_0.png
13;SIXX;ProSiebenSat.1;SDTV;9b8e3a2fc1bdeba23bb1a7e8ba5949e2;30be4d0cd1c50c656f1e5b5a06d88cc1;1;picon://1_0_1_308_5_85_C00000_0_0_0.png
14;TELE 5 HD;BetaDigital;HDTV;e606e91dfccab798fecc94a5693126a5;0de60fa3345136444a10fd951af167a4;25;picon://1_0_19_1519_455_1_C00000_0_0_0.png
15;ANIXE HD;BetaDigital;HDTV;3652f003cc468db6a2960a47743a9bcc;23cce9d201a19e18c2c5d47c1bee771d;25;picon://1_0_19_526C_41D_1_C00000_0_0_0.png
16;DMAX;BetaDigital;SDTV;0e3327564266043a10028bc78073bda4;0a94402ea477deb5a66e0ab1ca6be901;1;picon://1_0_1_3F_21_85_C00000_0_0_0.png
17;QLAR;BetaDigital;SDTV;3840cdd7712711c0db4ab49b270b07d1;e6325fdb5882a42f56f961e98832fbd7;1;picon://1_0_1_4C_21_85_C00000_0_0_0.png
18;TLC;BetaDigital;SDTV;6c9ddb003793bda2f9bcc4f1b02e50b7;2e8394ab76e41180480d190839a49ea8;1;picon://1_0_1_304_5_85_C00000_0_0_0.png
19;ServusTV HD Deutschland;ServusTV;HDTV;3531a059cdd22efbe40b2474e05b89e7;24add01d18bea087dc41900c0029cbde;25;picon://1_0_19_1332_3EF_1_C00000_0_0_0.png
20;Welt der Wunder;-;SDTV;b9ea26454faacc65591847e3fb0f9aa7;8986582d2f269d7174cc5d0e9e1c3af3;1;**ERROR** Icon not Found.
51;13th Street HD;SKY;HDTV;aa129e7d26733750ffb8512b448d01aa;6a5f08aea31956cf57b12c53b2726bd8;25;picon://1_0_19_7F_D_85_C00000_0_0_0.png
